organism	gene	modification	new_id	old_id	random_id	protein_length_new	protein_length_old	CDS_counts_new	CDS_counts_old	CDS_change	source_new	source_old	chain_count_new	chain_count_old	fraction_disordered_new	fraction_disordered_old	has_clash_new	has_clash_old	pae_mean_new	pae_mean_old	ptm_new	ptm_old	ranking_score_new	ranking_score_old	residue_plddt_50_new	residue_plddt_50_old	residue_plddt_60_new	residue_plddt_60_old	residue_plddt_70_new	residue_plddt_70_old	residue_plddt_80_new	residue_plddt_80_old	residue_plddt_90_new	residue_plddt_90_old	residue_plddt_count_fp_new	residue_plddt_count_fp_old	residue_plddt_count_tp_new	residue_plddt_count_tp_old	residue_plddt_max_new	residue_plddt_max_old	residue_plddt_mean_new	residue_plddt_mean_old	residue_plddt_median_new	residue_plddt_median_old	residue_plddt_min_new	residue_plddt_min_old	total_residue_plddt_over_80_new	total_residue_plddt_over_80_old	Foldseek_transformed_evalue_new	Foldseek_transformed_evalue_old	alnlen_new	alnlen_old	alntmscore_new	alntmscore_old	bits_new	bits_old	evalue_new	evalue_old	fident_new	fident_old	gapopen_new	gapopen_old	lddt_new	lddt_old	mismatch_new	mismatch_old	qend_new	qend_old	qstart_new	qstart_old	query_length_new	query_length_old	query_new	query_old	target_new	target_old	taxid_new	taxid_old	taxlineage_new	taxlineage_old	taxname_new	taxname_old	tend_new	tend_old	tstart_new	tstart_old	diff_alnlen	diff_alntmscore	diff_bits	diff_CDS_counts	diff_evalue	diff_fident	diff_fraction_disordered	diff_lddt	diff_pae_max	diff_pae_mean	diff_ph-LDDT	diff_protein_length	diff_ptm	diff_residue_plddt_50	diff_residue_plddt_60	diff_residue_plddt_70	diff_residue_plddt_80	diff_residue_plddt_90	diff_residue_plddt_mean	diff_residue_plddt_median	diff_total_residue_plddt_over_80	diff_PSAURON_in_frame_score	diff_mean_out_of_frame_score	ph-LDDT_new	ph-LDDT_old	precision_new	precision_old	query_tp_count_new	query_tp_count_old	sensitivity_new	sensitivity_old	PSAURON_in_frame_score_new	PSAURON_in_frame_score_old	mean_out_of_frame_score_new	mean_out_of_frame_score_old	alignment_score	alignment_length	percent_alignment_score	IPR_max_new	IPR_total_new	IPR_evalue_min_new	IPR_max_old	IPR_total_old	IPR_evalue_min_old	IPR_transformed_evalue_min_new	IPR_transformed_evalue_min_old	diff_IPR_min_evalue	diff_IPR_transformed_min_evalue	above_90_old	above_80_old	above_70_old	above_60_old	above_50_old	above_90_new	above_80_new	above_70_new	above_60_new	above_50_new	diff_above_90	diff_above_80	diff_above_70	diff_above_60	diff_above_50
Toxoplasma gondii str. ME49	TGME49_308940	changed	TGME49_308940	TGME49_308940		1386	1026	8	8	same	toxo66	toxo65	1	1	0.5	0.35	0	0	27.3932640151255	24.0267439364059	0.38	0.45	0.63	0.62	120	136	177	164	271	237	96	111	0	0	275	64	544	512	86.002	88.606	48.4497226777151	56.5187008018784	47.161746031746	59.912	15.9090909090909	17.7	96	111	32.4275584897803	35.1726929992006	978.0	995.0	0.105	0.1095	58.0	60.0	0.0005718	0.0003039	0.093	0.106	50.0	44.0	0.338	0.3282	542.0	499.0	1372.0	1000.0	550.0	186.0	822.0	814.0	tgme49_308940.r3549_model	tgme49_308940-t26_1_model	8j8q-assembly1.cif.gz_C	7kzv-assembly1.cif.gz_V	1080349.0	9606.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces eubayanus	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	Saccharomyces eubayanus	Homo sapiens	862.0	1138.0	75.0	355.0	-17.0	-0.004500000000000004	-2.0	0	0.0002679	-0.012999999999999998	0.15	0.009800000000000031	0.0	3.36652007871962	-0.0706577759382502	360.0	-0.07	-16	13	34	-15	0	-8.06897812416333		-15	-0.0435499999999999	0.0118299999999999	0.460973542980887	0.531631318919137	0.392496392496393	0.499025341130604	459.0	463.0	0.558394160583942	0.568796068796069	0.92167	0.96522	0.12985	0.11802	1025	1386	73.95			10.0			10.0	-10.0	-10.0	0.0	0.0	0	111	348	512	648	0	96	367	544	664	0	-15	19	32	16
Toxoplasma gondii str. ME49	TGME49_308960	changed	TGME49_308960	TGME49_308960		2395	1031	15	13	increase	toxo66	toxo65	1	1	0.63	0.44	0	0	30.1737673911812	25.1008830991918	0.33	0.43	0.65	0.65	98	45	154	102	142	214	116	161	1	12	365	145	413	489	90.5	92.524	38.1787434331384	53.1764843666679	30.1125	55.71875	10.7833333333333	8.735	117	173	351.364392354738	349.034375616259	741.0	764.0	0.4237	0.4409	816.0	832.0	7.304000000000001e-36	1.249e-35	0.21	0.209	22.0	24.0	0.6127	0.6216	371.0	378.0	2230.0	761.0	1498.0	1.0	732.0	760.0	tgme49_308960.r3551_model	tgme49_308960-t26_1_model	5c1a-assembly2.cif.gz_L	7ln4-assembly1.cif.gz_D	9606.0	9606.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	Homo sapiens	Homo sapiens	724.0	751.0	190.0	211.0	-23.0	-0.017199999999999993	-16.0	2	-5.1860000000000006e-36	0.0010000000000000009	0.19	-0.008900000000000019	0.0	5.07288429198939	-0.285343708075232	1364.0	-0.0999999999999999	53	52	-72	-45	-11	-14.9977409335295		-56	-0.09531	-0.0069399999999999	0.257856543070967	0.5432002511462	0.172442588726514	0.474296799224054	374.0	483.0	0.510928961748634	0.635526315789474	0.84737	0.94268	0.11131	0.11825	867	2539	34.15	693.0	1888.0	1.5e-104	692.0	1791.0	2.9e-104	1038.23908740944	1035.37602002101	-1.4e-104	2.86306738843268	12	173	387	489	534	1	117	259	413	511	-11	-56	-128	-76	-23
Toxoplasma gondii str. ME49	TGME49_309210	changed	TGME49_309210	TGME49_309210		224	402	4	5	decrease	toxo66	toxo65	1	1	0.0	0.42	0	0	2.39503746811225	19.2809645800847	0.94	0.59	0.94	0.8	0	4	0	1	1	1	18	22	205	201	0	55	224	225	98.905	98.728	95.7064979305169	66.4993122482824	96.9245454545455	89.9452777777778	79.29375	17.3183333333333	223	223	318.572977542624	307.039933306863	224.0	223.0	0.9701	0.9652	1176.0	1160.0	1.3890000000000002e-32	1.9770000000000003e-31	0.508	0.511	2.0	2.0	0.8949	0.8881	106.0	105.0	224.0	402.0	1.0	180.0	223.0	222.0	tgme49_309210.r3565_model	tgme49_309210-t26_1_model	2v2g-assembly1.cif.gz_A	2v2g-assembly1.cif.gz_A	6344.0	6344.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Protostomia;-_Spiralia;-_Lophotrochozoa;p_Annelida;c_Polychaeta;-_Sedentaria;-_Scolecida;f_Arenicolidae;g_Arenicola;s_Arenicola marina	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Protostomia;-_Spiralia;-_Lophotrochozoa;p_Annelida;c_Polychaeta;-_Sedentaria;-_Scolecida;f_Arenicolidae;g_Arenicola;s_Arenicola marina	Arenicola marina	Arenicola marina	220.0	220.0	1.0	2.0	1.0	0.0049000000000000155	16.0	-1	-1.8381e-31	-0.0030000000000000027	-0.42	0.006800000000000028	-17.4	-16.8859271119724	0.282296650717704	-178.0	0.35	-4	-1	0	-4	4	29.2071856822345		0	0.0162999999999999	-0.06031	1.0	0.717703349282297	1.0	0.559701492537313	223.0	222.0	1.0	1.0	0.99976	0.98346	0.10239	0.1627	223	402	55.47	221.0	1000.0	9.83243e-117	218.0	779.0	2.14037e-118	1160.07339136779	1176.69511144843	9.618393e-117	-16.6217200806398	201	223	224	225	229	205	223	224	224	224	4	0	0	-1	-5
Toxoplasma gondii str. ME49	TGME49_309265	changed	TGME49_309265	TGME49_309265		665	837	1	1	same	toxo66	toxo65	1	1	0.33	0.43	0	0	19.8186680988185	23.2844402193074	0.62	0.54	0.78	0.75	42	41	33	31	77	84	100	103	125	121	60	142	335	339	97.44625	97.34125	60.5755769119769	53.4641805247388	60.9455555555556	45.0071428571429	13.87375	14.75625	225	224	158.44967771209	160.166895142059	430.0	431.0	0.768	0.758	517.0	541.0	1.429e-16	9.623e-17	0.195	0.204	21.0	22.0	0.5799	0.5771	214.0	209.0	657.0	829.0	246.0	418.0	411.0	411.0	tgme49_309265.r3566_model	tgme49_309265-t26_1_model	7jk9-assembly1.cif.gz_A	7jk9-assembly1.cif.gz_A	3702.0	3702.0	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_eudicotyledons;-_Gunneridae;-_Pentapetalae;-_rosids;-_malvids;o_Brassicales;f_Brassicaceae;-_Camelineae;g_Arabidopsis;s_Arabidopsis thaliana	-_cellular organisms;d_Eukaryota;k_Viridiplantae;p_Streptophyta;-_Streptophytina;-_Embryophyta;-_Tracheophyta;-_Euphyllophyta;-_Spermatophyta;c_Magnoliopsida;-_Mesangiospermae;-_eudicotyledons;-_Gunneridae;-_Pentapetalae;-_rosids;-_malvids;o_Brassicales;f_Brassicaceae;-_Camelineae;g_Arabidopsis;s_Arabidopsis thaliana	Arabidopsis thaliana	Arabidopsis thaliana	316.0	316.0	1.0	1.0	-1.0	0.010000000000000009	-24.0	0	4.667e-17	-0.00899999999999998	-0.0999999999999999	0.0028000000000000247	0.0	-3.46577212048896	0.0788460297376441	-172.0	0.0799999999999999	1	2	-7	-3	4	7.11139638723815		1	0.09436	-0.00275	0.618369007209583	0.539522977471939	0.503759398496241	0.405017921146953	329.0	332.0	0.800486618004866	0.807785888077859	0.8238	0.72944	0.10765	0.1104	664	837	79.33	241.0	514.0	1.57e-35	241.0	514.0	2.5200000000000003e-35	348.041003475908	345.985994592185	-9.5e-36	2.05500888372313	121	224	308	339	380	125	225	302	335	377	4	1	-6	-4	-3
Toxoplasma gondii str. ME49	TGME49_309550	changed	TGME49_309550	TGME49_309550		587	372	2	1	increase	toxo66	toxo65	1	1	0.86	0.78	0	0	29.6120768264121	27.3169412648861	0.17	0.22	0.6	0.61	97	66	9	62	0	33	0	1	0	0	71	2	9	96	67.156	82.178	37.2052087792011	48.1187113541327	33.6985714285714	44.1391964285714	18.7536363636364	22.6063636363636	0	1	-1.66726055580052	-0.674428427763807	0.0	0.0	0.2565	0.1729	31.0	27.0	1.468	1.168	0.131	0.113	9.0	8.0	0.605	0.6172	176.0	164.0	571.0	372.0	331.0	150.0	240.0	222.0	tgme49_309550.r3570_model	tgme49_309550-t26_1_model	7o3w-assembly1.cif.gz_A	6uxw-assembly1.cif.gz_A	1111708.0	559292.0	-_cellular organisms;d_Bacteria;-_Terrabacteria group;-_Cyanobacteriota/Melainabacteria group;p_Cyanobacteriota;c_Cyanophyceae;o_Synechococcales;f_Merismopediaceae;g_Synechocystis;-_unclassified Synechocystis;s_Synechocystis sp. PCC 6803;-_Synechocystis sp. PCC 6803 substr. Kazusa	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_saccharomyceta;-_Saccharomycotina;c_Saccharomycetes;o_Saccharomycetales;f_Saccharomycetaceae;g_Saccharomyces;s_Saccharomyces cerevisiae;-_Saccharomyces cerevisiae S288C	Synechocystis sp. PCC 6803 substr. Kazusa	Saccharomyces cerevisiae S288C	214.0	200.0	4.0	5.0	0.0	0.08360000000000001	4.0	1	0.3	0.018000000000000002	0.0799999999999999	-0.012199999999999989	0.0	2.29513556152601	0.0	215.0	-0.0499999999999999	31	-53	-33	-1	0	-10.9135025749316		-1	-0.0063899999999998	0.02951	0.0	0.0	0.0153321976149914	0.258064516129032	7.0	87.0	0.0291666666666666	0.391891891891892	0.98984	0.99623	0.06165	0.03214	355	598	59.36			10.0			10.0	-10.0	-10.0	0.0	0.0	0	1	34	96	162	0	0	0	9	106	0	-1	-34	-87	-56
Toxoplasma gondii str. ME49	TGME49_309790	changed	TGME49_309790	TGME49_309790		305	254	7	5	increase	toxo66	toxo65	1	1	0.16	0.25	0	0	10.5668787960226	13.2908053816108	0.78	0.72	0.86	0.84	16	5	5	5	16	11	85	71	146	99	0	6	252	186	97.644	97.544	81.9116137309867	75.2047891939644	89.59375	87.1379166666667	30.4872727272727	21.76	231	170	62.7926202298158	45.012760292521	261.0	189.0	0.6534	0.7583	316.0	250.0	5.257e-07	3.153e-05	0.195	0.211	9.0	3.0	0.6523	0.6788	191.0	144.0	300.0	238.0	52.0	53.0	248.0	185.0	tgme49_309790.r3576_model	tgme49_309790-t26_1_model	8fni-assembly1.cif.gz_6	8fni-assembly1.cif.gz_6	5691.0	5691.0	-_cellular organisms;d_Eukaryota;-_Discoba;p_Euglenozoa;c_Kinetoplastea;-_Metakinetoplastina;o_Trypanosomatida;f_Trypanosomatidae;g_Trypanosoma;-_Trypanozoon;s_Trypanosoma brucei	-_cellular organisms;d_Eukaryota;-_Discoba;p_Euglenozoa;c_Kinetoplastea;-_Metakinetoplastina;o_Trypanosomatida;f_Trypanosomatidae;g_Trypanosoma;-_Trypanozoon;s_Trypanosoma brucei	Trypanosoma brucei	Trypanosoma brucei	338.0	272.0	85.0	86.0	72.0	-0.1049	66.0	2	-3.10043e-05	-0.015999999999999986	-0.09	-0.026499999999999968	0.0	-2.72392658558819	0.061330772412303	51.0	0.06	11	0	5	14	47	6.7068245370223		61	-0.0002699999999999	0.0125599999999999	0.904847396768402	0.843516624356099	0.826229508196721	0.732283464566929	248.0	184.0	1.0	0.994594594594595	0.99898	0.99925	0.1512	0.13864	238	315	75.56			10.0			10.0	-10.0	-10.0	0.0	0.0	99	170	181	186	191	146	231	247	252	268	47	61	66	66	77
Toxoplasma gondii str. ME49	TGME49_309840	changed	TGME49_309840	TGME49_309840		692	382	3	1	increase	toxo66	toxo65	1	1	0.99	1.0	0	0	30.5885111430385	29.8596707875332	0.13	0.11	0.63	0.61	33	49	3	5	0	0	0	0	0	0	33	0	3	5	61.99	65.0775	35.7793695345278	41.7987173662579	34.84	41.427	20.6021428571429	25.4866666666667	0	0	-6.48750212698019	-0.867156639448825	0.0	0.0	0.2408	0.3746	22.0	38.0	4.454	1.221	0.171	0.2	3.0	1.0	0.6794	0.6145	71.0	35.0	459.0	381.0	353.0	338.0	106.0	43.0	tgme49_309840.r3578_model	tgme49_309840-t26_1_model	8jsm-assembly1.cif.gz_C	8to0-assembly1.cif.gz_A1	1570291.0	10090.0	d_Viruses;-_Riboviria;k_Orthornavirae;p_Negarnaviricota;-_Haploviricotina;c_Monjiviricetes;o_Mononegavirales;f_Filoviridae;g_Orthoebolavirus;s_Orthoebolavirus zairense;-_Zaire ebolavirus;-_Ebola virus	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;-_Glires;o_Rodentia;-_Myomorpha;-_Muroidea;f_Muridae;-_Murinae;g_Mus;-_Mus;s_Mus musculus	Ebola virus	Mus musculus	99.0	45.0	6.0	1.0	0.0	-0.1338	-16.0	2	3.233	-0.028999999999999998	-0.01	0.06489999999999996	0.0	0.728840355505291	0.0	310.0	0.02	-16	-2	0	0	0	-6.01934783173017		0	-0.03112	0.02353	0.0	0.0	0.0043352601156069	0.013089005235602	2.0	0.0	0.0188679245283018	0.0	0.94829	0.97941	0.09238	0.06885	369	694	53.17			10.0			10.0	-10.0	-10.0	0.0	0.0	0	0	0	5	54	0	0	0	3	36	0	0	0	-2	-18
Toxoplasma gondii str. ME49	TGME49_309885	changed	TGME49_309885	TGME49_309885		1448	1012	4	7	decrease	toxo66	toxo65	1	1	1.0	1.0	0	0	31.1835527570892	30.9210970332297	0.16	0.14	0.66	0.64	54	64	26	40	16	28	0	17	0	0	47	88	42	85	79.486	89.332	34.6404272425319	37.782513802266	32.495	34.1725	21.0516666666667	18.4783333333333	0	17	-0.128372247051722	-6.16160312847583	0.0	0.0	0.1632	0.3357	22.0	26.0	1.03	4.132	0.197	0.179	8.0	1.0	0.6846	0.7414	102.0	53.0	577.0	233.0	433.0	169.0	144.0	64.0	tgme49_309885.r3582_model	tgme49_309885-t26_1_model	8c6j-assembly1.cif.gz_O	8i03-assembly1.cif.gz_E	9606.0	4896.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Fungi;-_Dikarya;p_Ascomycota;-_Taphrinomycotina;c_Schizosaccharomycetes;o_Schizosaccharomycetales;f_Schizosaccharomycetaceae;g_Schizosaccharomyces;s_Schizosaccharomyces pombe	Homo sapiens	Schizosaccharomyces pombe	279.0	157.0	123.0	91.0	0.0	-0.1725	-4.0	-3	-3.102	0.018000000000000016	0.0	-0.05679999999999996	0.0	0.262455723859478	0.0	436.0	0.0199999999999999	-10	-14	-12	-17	0	-3.14208655973415		-17	0.0065199999999999	0.01754	0.0	0.0	0.0290055248618784	0.08399209486166	11.0	19.0	0.0763888888888889	0.296875	0.70805	0.70153	0.11871	0.10117	942	1495	63.01			10.0			10.0	-10.0	-10.0	0.0	0.0	0	17	45	85	149	0	0	16	42	96	0	-17	-29	-43	-53
Toxoplasma gondii str. ME49	TGME49_310040	changed	TGME49_310040	TGME49_310040		140	199	4	4	same	toxo66	toxo65	1	1	0.05	0.33	0	0	2.70866326530612	16.1906113481983	0.91	0.64	0.93	0.81	0	2	1	1	1	4	16	41	122	91	0	31	140	137	98.5736363636364	96.7454545454546	94.2599305523841	70.9812264944715	95.9426136363637	88.9125	66.15625	14.5485714285714	138	132	200.280750508158	212.085900843328	136.0	136.0	0.9873	0.9861	796.0	838.0	9.374e-21	6.185999999999999e-22	0.61	0.61	0.0	0.0	0.9439	0.9442	53.0	53.0	140.0	199.0	5.0	64.0	135.0	135.0	tgme49_310040.r3592_model	tgme49_310040-t26_1_model	3e95-assembly1.cif.gz_C	3e95-assembly1.cif.gz_C	36329.0	36329.0	-_cellular organisms;d_Eukaryota;-_Sar;-_Alveolata;p_Apicomplexa;c_Aconoidasida;o_Haemosporida;f_Plasmodiidae;g_Plasmodium;-_Plasmodium (Laverania);s_Plasmodium falciparum;-_Plasmodium falciparum 3D7	-_cellular organisms;d_Eukaryota;-_Sar;-_Alveolata;p_Apicomplexa;c_Aconoidasida;o_Haemosporida;f_Plasmodiidae;g_Plasmodium;-_Plasmodium (Laverania);s_Plasmodium falciparum;-_Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	Plasmodium falciparum 3D7	137.0	137.0	2.0	2.0	0.0	0.0011999999999999789	-42.0	0	8.7554e-21	0.0	-0.28	-0.000300000000000078	-4.1	-13.4819480828922	0.18452380952381	-59.0	0.27	-2	0	-3	-25	31	23.2787040579127		6	0.0812199999999999	-0.01638	1.0	0.815476190476191	1.0	0.688442211055276	135.0	135.0	1.0	1.0	0.95202	0.8708	0.18988	0.20626	137	199	68.84	140.0	512.0	2.8e-37	149.0	519.0	6e-37	365.528419686578	362.218487496164	-3.2e-37	3.30993219041426	91	132	136	137	139	122	138	139	140	140	31	6	3	3	1
Toxoplasma gondii str. ME49	TGME49_310177	changed	TGME49_310177	TGME49_310177		846	181	1	2	decrease	toxo66	toxo65	1	1	1.0	1.0	0	0	30.7968016643473	28.092692530753	0.13	0.1	0.63	0.6	42	58	12	17	1	0	0	0	0	0	143	0	13	17	75.824	66.494	32.205827937429	49.770600053415	30.2843434343434	48.878	17.4483333333333	38.4925	0	0	-8.93761762057943	-5.08664363052943	0.0	0.0	0.3063	0.1066	20.0	16.0	7.83	3.226	0.137	0.126	2.0	7.0	0.6545	0.6629	59.0	139.0	519.0	175.0	440.0	4.0	79.0	171.0	tgme49_310177.r3599_model	tgme49_310177-t26_1_model	8jsl-assembly1.cif.gz_C	6ncl-assembly1.cif.gz_b6	1570291.0	10506.0	d_Viruses;-_Riboviria;k_Orthornavirae;p_Negarnaviricota;-_Haploviricotina;c_Monjiviricetes;o_Mononegavirales;f_Filoviridae;g_Orthoebolavirus;s_Orthoebolavirus zairense;-_Zaire ebolavirus;-_Ebola virus	d_Viruses;-_Varidnaviria;k_Bamfordvirae;p_Nucleocytoviricota;c_Megaviricetes;o_Algavirales;f_Phycodnaviridae;g_Chlorovirus;s_Paramecium bursaria Chlorella virus 1	Ebola virus	Paramecium bursaria Chlorella virus 1	72.0	302.0	3.0	104.0	0.0	0.19970000000000002	4.0	-1	4.604	0.01100000000000001	0.0	-0.008400000000000074	0.0	2.70410913359429	0.0	665.0	0.03	-16	-5	1	0	0	-17.564772115986		0	-0.0664699999999999	0.0935899999999999	0.0	0.0	0.0153664302600472	0.0939226519337016	10.0	10.0	0.126582278481013	0.0584795321637426	0.90778	0.97425	0.10575	0.01216	165	850	19.41			10.0			10.0	-10.0	-10.0	0.0	0.0	0	0	0	17	75	0	0	1	13	55	0	0	1	-4	-20
Toxoplasma gondii str. ME49	TGME49_310560	changed	TGME49_310560	TGME49_310560		2170	1684	17	16	increase	toxo66	toxo65	1	1	0.46	0.32	0	0	27.1341176920299	25.07808975491	0.49	0.49	0.72	0.65	256	195	262	233	411	374	233	160	0	0	379	232	906	767	88.9009090909091	88.73	51.2310058433246	53.8411020357974	53.4528282828283	55.276625	10.11	8.85857142857143	233	160	110.443122496865	101.03088159174	493.0	530.0	0.568	0.5827	336.0	320.0	9.03e-12	7.887e-11	0.121	0.135	22.0	20.0	0.4772	0.4743	316.0	332.0	673.0	498.0	256.0	44.0	417.0	454.0	tgme49_310560.r3615_model	tgme49_310560-t26_1_model	6t9o-assembly1.cif.gz_A	6t9o-assembly1.cif.gz_A	9606.0	9606.0	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	-_cellular organisms;d_Eukaryota;-_Opisthokonta;k_Metazoa;-_Eumetazoa;-_Bilateria;-_Deuterostomia;p_Chordata;-_Craniata;-_Vertebrata;-_Gnathostomata;-_Teleostomi;-_Euteleostomi;-_Sarcopterygii;-_Dipnotetrapodomorpha;-_Tetrapoda;-_Amniota;c_Mammalia;-_Theria;-_Eutheria;-_Boreoeutheria;-_Euarchontoglires;o_Primates;-_Haplorrhini;-_Simiiformes;-_Catarrhini;-_Hominoidea;f_Hominidae;-_Homininae;g_Homo;s_Homo sapiens	Homo sapiens	Homo sapiens	480.0	480.0	30.0	2.0	-37.0	-0.014700000000000046	16.0	1	-6.984e-11	-0.014000000000000012	0.14	0.0029000000000000137	0.0	2.05602793711995	-0.0120991982686723	486.0	0.0	61	29	37	73	0	-2.61009619247278		73	0.0032299999999999	-0.0267299999999999	0.554963726816589	0.567062925085261	0.417511520737327	0.455463182897862	345.0	341.0	0.827338129496403	0.751101321585903	0.98776	0.98453	0.14272	0.16945	1594	2228	71.54			10.0	336.0	336.0	1.2e-15	-10.0	149.208187539524	10.0	-159.208187539524	0	160	534	767	962	0	233	644	906	1162	0	73	110	139	200
